blocklevel;cycle;balance;full_balance;current_frozen_deposits;frozen_deposits;staking_balance;delegated_balance;attestation_power;unstaked_frozen_deposits;balance_updates
11007;85;15086012053;72317789588;57231777535;57199606331;572317789152;499999999564;444;[ { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" } ];
11008;85;15120579269;72356199140;57235619871;57199606331;572356198704;499999999564;419;[ { "cycle": 80, "deposit": "0" }, { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3840956", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34568596", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1380", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1380", "origin": "block" }
11009;86;15120579269;72356199140;57235619871;57207182596;572356198704;499999999564;446;[ { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" } ];
11135;86;15149991029;72388877338;57238886309;57207182596;572388876902;499999999564;470;[ { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" } ];
11136;86;15184558244;72427286890;57242728646;57207182596;572427286454;499999999564;426;[ { "cycle": 81, "deposit": "0" }, { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3840956", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34568596", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1381", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1381", "origin": "block" }
11137;87;15184558244;72427286890;57242728646;57213358300;572427286454;499999999564;478;[ { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" }, { "cycle": 87, "deposit": "0" } ];
11263;87;15213970004;72459965088;57245995084;57213358300;572459964652;499999999564;463;[ { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" }, { "cycle": 87, "deposit": "0" } ];
11264;87;15248537219;72498374640;57249837421;57213358300;572498374204;499999999564;438;[ { "cycle": 82, "deposit": "0" }, { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" }, { "cycle": 87, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "3840956", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "34568596", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-1381", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "1381", "origin": "block" }
11265;88;15248537219;72498374640;57249837421;57221867569;572498374204;499999999564;446;[ { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" }, { "cycle": 87, "deposit": "0" }, { "cycle": 88, "deposit": "0" } ];
11391;88;15265343939;72517047896;57251703957;57221867569;572517047460;499999999564;438;[ { "cycle": 83, "deposit": "0" }, { "cycle": 84, "deposit": "0" }, { "cycle": 85, "deposit": "0" }, { "cycle": 86, "deposit": "0" }, { "cycle": 87, "deposit": "0" }, { "cycle": 88, "deposit": "0" } ];{ "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "1981", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "233334", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "2099999", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "233300", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "2099700", "origin": "block" }
